"ID","REGISTRATION_DATE"
PCTE0000098,9/29/17
PCTE0000104,11/14/17
PCTE0000105,11/15/17
PCTE0000107,1/18/18
PCTE0000110,1/18/18
PCTE0000114,5/1/18
PCTE0000118,5/2/18
PCTE0000119,5/2/18
PCTE0000121,5/14/18
PCTE0000125,7/10/18
PCTE0000129,8/13/18
PCTE0000128,8/15/18
PCTE0000130,8/27/18
PCTE0000134,9/25/18
PCTE0000135,10/16/18
PCTE0000139,12/2/18
PCTE0000137,12/3/18
PCTE0000138,12/3/18
PCTE0000141,1/9/19
PCTE0000142,3/4/19
PCTE0000131,4/1/19
PCTE0000147,4/1/19
PCTE0000148,4/7/19
PCTE0000149,4/7/19
PCTE0000132,4/13/19
PCTE0000150,4/28/19
PCTE0000152,5/2/19
PCTE0000155,5/12/19
PCTE0000156,5/13/19
PCTE0000158,5/21/19
PCTE0000144,5/22/19
PCTE0000145,5/22/19
PCTE0000159,5/23/19
PCTE0000161,6/15/19
PCTE0000162,6/15/19
PCTE0000166,8/21/19
PCTE0000167,8/28/19
PCTE0000165,9/1/19
PCTE0000164,9/10/19
PCTE0000171,10/15/19
PCTE0000173,11/5/19
PCTE0000175,12/16/19
PCTE0000177,1/6/20
PCTE0000181,1/16/20
PCTE0000169,2/10/20
PCTE0000179,2/27/20
PCTE0000174,4/15/20
PCTE0000143,4/22/20
PCTE0000187,6/9/20
PCTE0000188,6/9/20
PCTE0000189,7/12/20
PCTE0000190,7/12/20
PCTE0000193,7/12/20
PCTE0000197,7/13/20
PCTE0000199,7/17/20
PCTE0000198,8/4/20
PCTE0000201,8/4/20
PCTE0000204,8/11/20
PCTE0000205,8/12/20
PCTE0000206,8/20/20
PCTE0000207,8/20/20
PCTE0000211,9/4/20
PCTE0000212,9/18/20
PCTE0000210,9/21/20
PCTE0000213,10/5/20
PCTE0000218,12/1/20
PCTE0000219,12/14/20
PCTE0000214,1/8/21
PCTE0000182,1/27/21
PCTE0000196,2/3/21
PCTE0000216,2/12/21
PCTE0000217,2/12/21
PCTE0000191,3/19/21
PCTE0000185,3/31/21
PCTE0000233,4/19/21
PCTE0000234,4/21/21
PCTE0000208,4/28/21
PCTE0000209,4/28/21
PCTE0000237,5/3/21
PCTE0000238,5/7/21
PCTE0000242,6/21/21
PCTE0000240,6/28/21
PCTE0000195,7/9/21
PCTE0000244,7/19/21
PCTE0000246,8/16/21
PCTE0000249,8/19/21
PCTE0000239,8/30/21
PCTE0000248,9/3/21
PCTE0000251,9/14/21
PCTE0000253,9/14/21
PCTE0000257,9/14/21
PCTE0000256,9/16/21
PCTE0000247,9/22/21
PCTE0000255,9/22/21
PCTE0000254,9/30/21
PCTE0000259,9/30/21
PCTE0000258,10/7/21
PCTE0000264,10/9/21
PCTE0000265,10/10/21
PCTE0000200,10/19/21
PCTE0000269,10/19/21
PCTE0000266,10/28/21
PCTE0000222,10/29/21
PCTE0000271,10/29/21
PCTE0000252,11/1/21
PCTE0000270,11/3/21
PCTE0000272,11/3/21
PCTE0000276,12/22/21
PCTE0000277,1/28/22
PCTE0000280,2/7/22
PCTE0000278,2/9/22
PCTE0000283,2/18/22
PCTE0000284,3/19/22
PCTE0000285,3/24/22
PCTE0000287,3/29/22
PCTE000281,4/22/22
PCTE0000295,5/16/22
PCTE000263,5/23/22
PCTE000296,5/23/22
PCTE000310,7/13/22
PCTE000309,7/20/22
PCTE000312,9/5/22
PCTE0000317,9/15/22